---- 1 pangram ----
abcdefk ['feedback']
abcdefl ['defaceable']
abcdegh ['cabbagehead']
abcdehl ['bleached']
abcdehr ['berdache']
abcdekl ['leadback']
abcdekn ['neckband']
abcdelp ['deplaceable']
abcdenr ['debarrance']
abcderw ['crabweed']
abcdfrt ['bardcraft']
abcdhik ['dabchick']
abcdhin ['chinband']
abcdhir ['dibrach']
abcdhis ['bisischiadic']
abcdhkn ['backhand']
abcdhkr ['hardback']
abcdhnr ['archband']
abcdimr ['crambid']
abcdinr ['carabidan']
abcdins ['abscind']
abcdint ['abdicant']
abcdirt ['catbird']
abcdkmr ['brackmard']
abcdkno ['codbank']
abcdknr ['backbrand']
abcdkot ['toadback']
abcdkow ['backwood']
abcdlnr ['blancard']
abcdlns ['scabland']
abcdlnu ['clubland']
abcdlsu ['subcaudal']
abcdnor ['carbonado']
abcdnos ['abscond']
abcdnov ['vacabond']
abcdnst ['cabstand']
abcdors ['sacbrood']
abcdorw ['crabwood']
abcdotw ['tobaccowood']
abcefkl ['blackface']
abcefrs ['bescarf']
abcegkl ['blackleg']
abcegkm ['backgame']
abcegln ['beclang']
abcehkt ['hatchetback']
abcehln ['alebench']
abcehnt ['bacchante']
abcehrs ['sherbacha']
abcejlt ['ejectable']
abceklp ['packable']
abcekps ['backspace']
abceksw ['skewback']
abcektw ['wetback']
abcelms ['scamble']
abcelnt ['enactable']
abcelpt ['acceptable']
abcelrw ['becrawl']
abcelrx ['execrable']
abceltv ['vacatable']
abceltx ['exactable']
abcempr ['becramp']
abcemrt ['carbamate']
abcemrv ['vambrace']
abcemrx ['excamber']
abcenrt ['cabernet']
abceprs ['bescrape']
abcertx ['exacerbate']
abcfhkl ['halfback']
abcfikl ['backfill']
abcfikn ['finback']
abcfils ['basifacial']
abcfilt ['tabifical']
abcfklp ['backflap']
abcfklu ['fullback']
abcfkly ['flyback']
abcfkot ['footback']
abcfkpu ['puffback']
abcfkst ['backstaff']
abcghit ['bigthatch']
abcghko ['hogback']
abcgikn ['backing']
abcgilm ['galliambic']
abcgkry ['grayback']
abcgrsu ['scrubgrass']
abchikn ['backchain']
abchikr ['birchbark']
abchilr ['brachial']
abchimr ['brahmachari']
abchimt ['bathmic']
abchips ['biphasic']
abchirs ['baccharis']
abchirw ['bawarchi']
abchist ['bisischiatic']
abchklo ['chockablock']
abchkls ['backlash']
abchklu ['haulback']
abchkly ['ballyhack']
abchknu ['hunchback']
abchkop ['chapbook']
abchkor ['roachback']
abchkos ['cashbook']
abchkot ['botchka']
abchkrs ['shabrack']
abchksu ['hackbush']
abchksw ['backwash']
abchktu ['hackbut']
abchkuw ['hawbuck']
abchlmu ['chambul']
abchmnr ['branchman']
abchmry ['chambray']
abchnow ['chawbacon']
abchnry ['branchy']
abchopt ['chopboat']
abchort ['cohobator']
abchosx ['cashbox']
abchotw ['watchboat']
abchrsu ['subarch']
abciklm ['blackmail']
abciklw ['bailiwick']
abcikms ['skimback']
abciknr ['crackbrain']
abciknt ['knitback']
abcikst ['backstick']
abcilmr ['crabmill']
